time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing,active_force_count,grasp_continuous_s,grasp_prediction
1.187105,0,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-19.0,18.0,10.0,94.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.349418,1,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,0.0,-19.0,17.0,10.0,94.0,0.0,1.0,0.0,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.511766,2,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-1.0,-19.0,17.0,10.0,94.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.663914,3,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,0.0,-19.0,17.0,10.0,94.0,0.0,1.0,0.0,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.826422,4,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-1.0,-19.0,18.0,10.0,93.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.988677,5,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-19.0,18.0,10.0,95.0,-2.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.150946,6,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-1.0,-19.0,18.0,10.0,93.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.313239,7,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,0.0,-19.0,19.0,10.0,94.0,-2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.485727,8,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,0.0,-19.0,19.0,10.0,94.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.647894,9,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,0.0,-19.0,19.0,10.0,95.0,-2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.820363,10,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,0.0,-19.0,17.0,10.0,94.0,-1.0,1.0,0.0,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.982516,11,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,0.0,-19.0,18.0,10.0,95.0,-2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.144852,12,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,0.0,-19.0,19.0,10.0,94.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.317451,13,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,0.0,-19.0,18.0,10.0,94.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.479790,14,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,0.0,-19.0,19.0,10.0,93.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.652361,15,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,0.0,-19.0,19.0,10.0,95.0,-2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.814696,16,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,0.0,-19.0,19.0,10.0,94.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.966864,17,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,0.0,-19.0,19.0,10.0,95.0,-2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
